Repository Name,Description,Last Update Date,Language,Number of Stars,Tags,Url
freeCodeCamp,The https://freeCodeCamp.com open source codebase and curriculum. Learn to code and help nonprofits.,2017-06-24T15:56:17Z,JavaScript,290k,"nonprofits,certification,curriculum,react,nodejs,javascript,d3,teachers,community,education,programming,math,learn-to-code,careers",https://github.com/freeCodeCamp/freeCodeCamp
bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",2017-06-24T15:40:21Z,JavaScript,112k,"javascript,css,html,bootstrap,jekyll-site,scss",https://github.com/twbs/bootstrap
free-programming-books, Freely available programming books,2017-06-23T01:09:34Z,,87.8k,"education,list,books,resource",https://github.com/EbookFoundation/free-programming-books
react,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",2017-06-24T19:33:49Z,JavaScript,69.7k,,https://github.com/facebook/react
d3,"Bring data to life with SVG, Canvas and HTML. ",2017-05-31T06:03:47Z,JavaScript,65.7k,visualization,https://github.com/d3/d3
You-Dont-Know-JS,A book series on JavaScript. @YDKJS on twitter.,2017-06-23T10:42:36Z,JavaScript,62k,"book-series,javascript,training-materials,async,education,programming,es6,book,es2015,learn-to-code,training-providers,closures,prototypes",https://github.com/getify/You-Dont-Know-JS
tensorflow,Computation using data flow graphs for scalable machine learning,2017-06-24T18:25:42Z,C++,61.6k,"tensorflow,python,machine-learning,deep-neural-networks,deep-learning,neural-network,ml,distributed",https://github.com/tensorflow/tensorflow
awesome, Curated list of awesome lists,2017-06-24T17:26:02Z,,60.7k,"lists,awesome,unicorns,resources,awesome-list",https://github.com/sindresorhus/awesome
vue,"A progressive, incrementally-adoptable JavaScript framework for building UI on the web.",2017-06-24T15:38:55Z,JavaScript,57.7k,"javascript,vue,framework,frontend",https://github.com/vuejs/vue
angular.js,AngularJS - HTML enhanced for web apps!,2017-06-24T06:25:23Z,JavaScript,56.2k,,https://github.com/angular/angular.js
oh-my-zsh,"A delightful community-driven (with 1,000+ contributors) framework for managing your zsh configuration. Includes 200+",2017-06-23T19:24:49Z,Shell,55.2k,"zsh-configuration,shell,theme,productivity,terminal",https://github.com/robbyrussell/oh-my-zsh
javascript,JavaScript Style Guide,2017-06-24T05:44:24Z,JavaScript,54.1k,"arrow-functions,javascript,eslint,naming-conventions,styleguide,es6,style-linter,linting,style-guide,es2015",https://github.com/airbnb/javascript
gitignore,A collection of useful .gitignore templates,2017-06-24T08:48:29Z,,51.6k,"gitignore,git",https://github.com/github/gitignore
Font-Awesome,The iconic font and CSS toolkit,2017-06-20T18:53:29Z,HTML,50.9k,,https://github.com/FortAwesome/Font-Awesome
react-native,A framework for building native apps with React.,2017-06-24T16:19:44Z,JavaScript,50k,,https://github.com/facebook/react-native
electron,"Build cross platform desktop apps with JavaScript, HTML, and CSS",2017-06-24T11:58:28Z,C++,47.2k,"html,css,javascript,electron,c-plus-plus,chrome,nodejs,v8",https://github.com/electron/electron
linux,Linux kernel source tree,2017-06-24T09:27:57Z,C,46.3k,,https://github.com/torvalds/linux
jquery,jQuery JavaScript Library,2017-06-23T12:47:39Z,JavaScript,45.3k,,https://github.com/jquery/jquery
coding-interview-university,A complete computer science study plan to become a software engineer.,2017-06-19T23:54:54Z,,44.9k,,https://github.com/jwasham/coding-interview-university
moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,2017-06-24T19:31:46Z,Go,44.3k,"docker,go,containers",https://github.com/moby/moby
animate.css, A cross-browser library of CSS animations. As easy to use as an easy thing.,2017-06-18T06:45:18Z,CSS,42.8k,"css-animations,stylesheets,css,animation",https://github.com/daneden/animate.css
swift,The Swift Programming Language,2017-06-24T19:10:06Z,C++,39.1k,,https://github.com/apple/swift
atom,The hackable text editor,2017-06-24T11:21:59Z,CoffeeScript,37.8k,"linux,macos,atom,javascript,electron,editor,windows",https://github.com/atom/atom
meteor,"Meteor, the JavaScript App Platform",2017-06-24T16:45:21Z,JavaScript,37.7k,"javascript,meteor,npm,mongodb,build-system",https://github.com/meteor/meteor
html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",2017-06-11T16:03:52Z,JavaScript,37.6k,,https://github.com/h5bp/html5-boilerplate
node,Node.js JavaScript runtime ,2017-06-24T19:42:53Z,JavaScript,36.4k,"javascript,nodejs,windows,macos,linux,node,mit,js,runtime",https://github.com/nodejs/node
node-v0.x-archive,Moved to https://github.com/nodejs/node,2016-08-03T14:11:58Z,,36.4k,,https://github.com/nodejs/node-v0.x-archive
rails,Ruby on Rails,2017-06-24T16:02:00Z,Ruby,36.1k,"rails,ruby,html,mvc,activerecord,activejob",https://github.com/rails/rails
Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,2017-06-19T17:49:04Z,JavaScript,35.6k,"semantic,flexbox,ui,css-framework,tooltip,button,popup,dropdown,sidebar,ui-components",https://github.com/Semantic-Org/Semantic-UI
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",2017-06-18T09:43:08Z,Python,35.3k,"python,awesome,collections",https://github.com/vinta/awesome-python
reveal.js,The HTML Presentation Framework,2017-06-19T09:07:01Z,JavaScript,35.2k,"slideshow,slides,presentations",https://github.com/hakimel/reveal.js
socket.io,Realtime application framework (Node.JS server),2017-06-23T01:04:59Z,JavaScript,33.8k,,https://github.com/socketio/socket.io
three.js,JavaScript 3D library.,2017-06-24T18:40:38Z,JavaScript,33.6k,"javascript,svg,webgl,html5,canvas,scene-graph",https://github.com/mrdoob/three.js
laravel,A PHP Framework For Web Artisans,2017-06-23T08:57:24Z,PHP,32.9k,"php,laravel,framework",https://github.com/laravel/laravel
express,"Fast, unopinionated, minimalist web framework for node.",2017-06-22T15:34:50Z,JavaScript,32.5k,"javascript,nodejs,express,server",https://github.com/expressjs/express
redux,Predictable state container for JavaScript apps,2017-06-23T21:05:09Z,JavaScript,32k,redux,https://github.com/reactjs/redux
moment,"Parse, validate, manipulate, and display dates in javascript.",2017-06-24T15:53:46Z,JavaScript,31.9k,,https://github.com/moment/moment
impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired b,2017-05-15T15:25:45Z,JavaScript,31.8k,,https://github.com/impress/impress.js
nw.js,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web techno,2017-06-23T05:35:29Z,C++,31.8k,"intel,node-webkit,nwjs,javascript,desktop,web-application-framework",https://github.com/nwjs/nw.js
the-art-of-command-line,"Master the command line, in one page",2017-06-12T11:43:49Z,,31k,,https://github.com/jlevy/the-art-of-command-line
Chart.js,Simple HTML5 Charts using the <canvas> tag,2017-06-24T19:40:15Z,JavaScript,30.7k,"html5-charts,chart,javascript,html5,canvas,graph",https://github.com/chartjs/Chart.js
material-design-icons,Material Design icons by Google,2017-06-23T19:35:25Z,CSS,30.2k,"material,sprites,icons,android,ios,web,material-design",https://github.com/google/material-design-icons
httpie,"Modern command line HTTP client  user-friendly curl alternative with intuitive UI, JSON support, syntax highlighting",2017-06-18T06:18:33Z,Python,30.2k,"python,debugging,cli,http,client,json,development,terminal,web,rest,curl,http-client,wget,developer-tools,usability,httpie",https://github.com/jakubroztocil/httpie
ionic,Build amazing native and progressive web apps with open web technologies. One app running on everything ,2017-06-24T15:34:10Z,TypeScript,30.1k,"ionic,javascript,angular,mobile,framework,typescript,web,pwa,frontend",https://github.com/ionic-team/ionic
jekyll," Jekyll is a blog-aware, static site generator in Ruby",2017-06-24T16:32:00Z,Ruby,30.1k,"ruby,jekyll,static-site-generator",https://github.com/jekyll/jekyll
vscode,Visual Studio Code,2017-06-24T16:48:19Z,TypeScript,29.6k,"electron,microsoft,editor,typescript,visual-studio-code",https://github.com/Microsoft/vscode
webpack,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows to load par,2017-06-24T01:42:43Z,JavaScript,29.4k,"javascript,webpack,commonjs,amd,module-loader,web-performance,web,es6,compiler,es2015,plugins,javascript-compiler,webpack2,build-tool,loaders,module-bundler,esm,javascript-modules",https://github.com/webpack/webpack
resume.github.com,Resumes generated using the GitHub informations,2017-01-30T13:08:05Z,JavaScript,29.4k,,https://github.com/resume/resume.github.com
