id,age,gender,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,attrited
768805383,45,M,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,false
818770008,49,F,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,false
713982108,51,M,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,false
769911858,40,F,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,false
709106358,40,M,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,false
713061558,44,M,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,false
810347208,51,M,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,false
818906208,32,M,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,false
710930508,37,M,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,false
719661558,48,M,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,false
708790833,42,M,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,false
710821833,65,M,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,false
710599683,56,M,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,false
816082233,35,M,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,false
712396908,57,F,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,false
714885258,44,M,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,false
709967358,48,M,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,false
753327333,41,M,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,false
806160108,61,M,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,false
709327383,45,F,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,false
806165208,47,M,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,false
708508758,62,F,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,true
784725333,41,M,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,false
811604133,47,F,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,false
789124683,54,M,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,false
771071958,41,F,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,false
720466383,59,M,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,false
804424383,63,M,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,false
718813833,44,F,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,false
806624208,47,M,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,false
778348233,53,M,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,false
712991808,53,M,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,false
709029408,41,M,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,false
788658483,53,F,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,false
787937058,58,M,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,false
715318008,55,F,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,false
713962233,55,F,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,false
785432733,42,F,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,false
715190283,57,F,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,false
708300483,66,F,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,true
827111283,45,M,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,false
758551608,51,M,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,false
773146383,50,F,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,false
778493808,49,M,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,false
720572508,38,F,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,false
712661433,49,M,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,false
789172683,56,M,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,false
738406533,59,M,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,false
799723908,46,M,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,false
771490833,52,M,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,false
720756708,52,F,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,false
779471883,54,F,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,true
711525033,66,F,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,false
712813458,49,M,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,false
714374133,56,M,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,true
717891558,49,F,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,false
716632758,49,F,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,false
768563658,56,M,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,false
711427458,44,F,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,false
714091983,42,M,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,false
787584108,55,M,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,false
712030833,48,M,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,true
711481533,39,M,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,false
710082708,44,M,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,false
708155733,53,M,High School,Single,$120K +,Blue,44,4,2,2,14734.0,false
788979258,51,M,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,false
807986133,57,M,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,false
788730933,44,F,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,false
711314058,49,M,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,false
717975333,50,M,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,false
715971108,51,M,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,false
